loan_id,gender,married,dependents,education,self_employed,applicant_income,coapplicant_income,loan_amount,loan_term,credit_history,property_area,loan_status
LN100001,Male,Yes,2,Not Graduate,No,2682,1588.0,332.0,300.0,1.0,Semiurban,Approved
LN100002,Female,Yes,0,Graduate,Yes,6208,3972.0,640.0,360.0,1.0,Semiurban,Rejected
LN100003,Female,Yes,0,Graduate,No,5868,4890.0,121.0,360.0,1.0,Rural,Approved
LN100004,Male,Yes,0,Graduate,No,14927,4668.0,312.0,360.0,1.0,Semiurban,Approved
LN100005,Male,Yes,0,Graduate,No,12558,4565.0,624.0,360.0,1.0,Urban,Approved
LN100006,Male,Yes,2,Graduate,No,5077,1126.0,61.0,360.0,0.0,Semiurban,Rejected
LN100007,Male,Yes,1,Graduate,No,10366,530.0,190.0,360.0,1.0,Urban,Approved
LN100008,Female,Yes,0,Graduate,No,14538,4194.0,604.0,180.0,1.0,Urban,Approved
LN100009,Male,Yes,0,Graduate,,13689,2210.0,66.0,360.0,1.0,Semiurban,Rejected
LN100010,Female,No,3+,Graduate,No,9751,2594.0,112.0,240.0,1.0,Rural,Approved
LN100011,Male,Yes,0,Graduate,No,13054,187.0,302.0,360.0,1.0,Rural,Approved
LN100012,Female,No,0,Graduate,No,6490,1557.0,514.0,360.0,1.0,Semiurban,Approved
LN100013,Female,Yes,0,Graduate,No,13242,202.0,425.0,360.0,1.0,Urban,Approved
LN100014,Male,Yes,2,Graduate,Yes,6395,5275.0,569.0,360.0,1.0,Urban,Rejected
LN100015,Male,No,1,Graduate,No,6359,1460.0,139.0,360.0,1.0,Rural,Approved
LN100016,Male,No,0,Not Graduate,No,9091,3344.0,679.0,240.0,1.0,Semiurban,Approved
LN100017,Male,Yes,0,Graduate,No,9960,234.0,224.0,360.0,1.0,Semiurban,Approved
LN100018,Male,Yes,1,Graduate,Yes,1912,4001.0,125.0,300.0,0.0,Rural,Rejected
LN100019,Male,No,1,Graduate,Yes,6931,1938.0,662.0,240.0,1.0,Semiurban,Approved
LN100020,Male,No,0,Graduate,No,4997,5388.0,449.0,240.0,1.0,Rural,Approved
LN100021,Male,Yes,3+,Graduate,No,12370,5329.0,120.0,360.0,1.0,Urban,Approved
LN100022,Male,Yes,0,Graduate,Yes,11916,1952.0,229.0,360.0,0.0,Rural,Rejected
LN100023,Male,Yes,0,Graduate,No,1939,5406.0,173.0,360.0,1.0,Rural,Approved
LN100024,Male,Yes,3+,Graduate,No,3224,5977.0,430.0,360.0,1.0,Urban,Approved
LN100025,Male,Yes,0,Graduate,No,4749,4952.0,342.0,240.0,1.0,Semiurban,Approved
LN100026,Female,Yes,1,Graduate,No,4968,5069.0,244.0,300.0,0.0,Urban,Rejected
LN100027,Male,Yes,0,Graduate,Yes,10508,1494.0,277.0,360.0,1.0,Rural,Rejected
LN100028,Male,No,0,Not Graduate,No,12608,3460.0,480.0,360.0,1.0,Urban,Approved
LN100029,Male,Yes,3+,Not Graduate,No,7843,404.0,485.0,360.0,1.0,Semiurban,Approved
LN100030,Male,Yes,0,Graduate,No,8789,570.0,510.0,300.0,1.0,Urban,Approved
LN100031,Male,No,2,Not Graduate,No,9036,5993.0,667.0,360.0,1.0,Semiurban,Rejected
LN100032,Male,No,0,Graduate,No,8061,1960.0,,360.0,1.0,Urban,Approved
LN100033,Male,Yes,0,Graduate,No,2687,4489.0,113.0,240.0,0.0,Urban,Rejected
LN100034,Female,Yes,0,Graduate,No,4904,4840.0,214.0,360.0,0.0,Semiurban,Approved
LN100035,Female,Yes,1,Not Graduate,No,1849,5148.0,76.0,360.0,1.0,Rural,Approved
LN100036,Female,Yes,0,Graduate,No,5751,5986.0,360.0,360.0,1.0,Urban,Approved
LN100037,Male,Yes,2,Graduate,No,5360,1449.0,334.0,240.0,1.0,Urban,Rejected
LN100038,Male,Yes,0,Graduate,No,1818,242.0,330.0,360.0,1.0,Rural,Approved
LN100039,Male,Yes,3+,Not Graduate,,6621,2467.0,213.0,120.0,1.0,Semiurban,Rejected
